Comment,Designator,Footprint,LCSC Part Number
TS-1088-AR02016,"BTN1,RESET1",SW_TS-1088-AR02016,C720477
10u,"C10,C12,C13,C19,C20,C21,C26,C9",0805,C440198
100n,"C15,C16,C18,C22,C23,C24,C25,C8",0402,C1525
4.7u,C17,0603,C19666
SMBJ5.0A,D1,D_SMB,
SMBJ12A,D2,D_SMB,
GREEN,"D3,D4",0805,C2297
RED,D5,0603,KT-0603R
YELLOW,D6,0805,KT-0805Y
GZ2012D601TF,"FB2,FB5",0805,C1017
BLM18PG121SN1D,FB3,0603,C14709
GZ2012D101TF,FB4,0805,C1015
LCD_ST7735S,J2,PinHeader_1x07_P2.54mm_Vertical,
DRV8313,J3,PinHeader_2x07_P2.54mm_Vertical,
Encoders,J7,PinHeader_1x06_P2.54mm_Vertical,
USB_C_Receptacle_USB2.0_14P,J8,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
10u,L1,0603,C1035
33,"R1,R2",0402,C25105
10k,"R11,R19,R26",0402,C25744
330,"R13,R18",0402,C25104
2k,"R14,R16",0402,C4109
1k,"R15,R17",0402,C11702
4.7k,"R22,R23,R24,R25",0402,C25900
5.1k,"R3,R4",0402,C25905
TestPoint,"TP1,TP10,TP11,TP4,TP5,TP7,TP8,TP9",TestPoint_Pad_D1.5mm,
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
USBLC6-2SC6,U3,SOT-23-6,
ATSAMD51J20A-A,U7,TQFP-64_10x10mm_P0.5mm,
