Designator,Mid X,Mid Y,Layer,Rotation
BTN1,13.14mm,-10.53mm,T,90.0
C10,6.96mm,-9.68mm,T,270.0
C12,-4.32mm,-43.45mm,T,90.0
C13,-2.13mm,-43.48mm,T,90.0
C15,6.95mm,-7.18mm,T,0.0
C16,-5.3mm,-19.6mm,T,90.0
C17,-7.7mm,-21.53mm,T,0.0
C18,8.878mm,-26.778mm,T,180.0
C19,-1.0mm,-32.874mm,T,0.0
C20,12.25mm,-3.75mm,T,0.0
C21,8.53mm,-24.31mm,T,270.0
C22,-0.239mm,-34.5mm,T,180.0
C23,5.83mm,-17.888mm,T,90.0
C24,-7.4mm,-28.7mm,T,180.0
C25,0.02mm,-37.49mm,T,0.0
C26,7.608mm,-18.65mm,T,90.0
C8,-7.15mm,-22.87mm,T,0.0
C9,-1.0mm,-13.75mm,T,0.0
D1,8.0mm,-1.0mm,T,270.0
D2,-11.6mm,-43.8mm,T,0.0
D3,-0.02mm,-41.67mm,T,270.0
D4,4.15mm,-15.53mm,T,180.0
D5,-5.58mm,-35.22mm,T,90.0
D6,-8.84mm,-35.61mm,T,90.0
FB2,-6.54mm,-43.44mm,T,270.0
FB3,-2.77mm,-34.75mm,T,180.0
FB4,-8.7mm,-39.4mm,T,270.0
FB5,7.58mm,-5.71mm,T,180.0
J2,14.75mm,-30.25mm,T,0.0
J3,1.79mm,-48.505mm,T,90.0
J7,-14.75mm,-29.0mm,T,0.0
J8,0.0mm,0.5mm,T,180.0
L1,-7.89mm,-24.84mm,T,0.0
R1,-5.1mm,-6.1mm,T,90.0
R11,-13.9mm,-14.75mm,T,270.0
R13,-12.49mm,-14.76mm,T,270.0
R14,0.342mm,-44.362mm,T,90.0
R15,1.25mm,-15.5mm,T,0.0
R16,-5.69mm,-32.68mm,T,270.0
R17,-8.14mm,-32.51mm,T,270.0
R18,14.0mm,-16.5mm,T,90.0
R19,12.5mm,-16.5mm,T,270.0
R2,-3.9mm,-6.1mm,T,270.0
R22,-11.84mm,-35.306mm,T,0.0
R23,-11.86mm,-32.81mm,T,0.0
R24,-11.85mm,-30.32mm,T,0.0
R25,-11.84mm,-27.806mm,T,0.0
R26,2.882mm,-44.362mm,T,90.0
R3,-7.222mm,-3.5mm,T,90.0
R4,-5.952mm,-3.5mm,T,90.0
RESET1,-12.75mm,-9.25mm,T,90.0
TP1,-1.2mm,-16.3mm,T,0.0
TP10,-4.3mm,-13.5mm,T,0.0
TP11,-7.0mm,-13.6mm,T,0.0
TP4,-9.63mm,-50.06mm,T,0.0
TP5,14.5mm,-44.5mm,T,0.0
TP7,-11.25mm,-21.5mm,T,0.0
TP8,-8.04mm,-26.9mm,T,0.0
TP9,5.642mm,-42.265mm,T,0.0
U1,1.25mm,-9.0mm,T,0.0
U3,-5.2mm,-9.5mm,T,90.0
U7,0.75mm,-25.0mm,T,0.0
